constructorResultsId,raceId,constructorId,points,status
568,70,7,0,NULL
569,70,3,0,NULL
570,71,4,16,NULL
571,71,6,8,NULL
572,71,9,7,NULL
573,71,3,4,NULL
574,71,1,4,NULL
575,71,7,0,NULL
576,71,15,0,NULL
577,71,16,0,NULL
578,71,17,0,NULL
579,71,18,0,NULL
580,72,4,10,NULL
581,72,7,12,NULL
582,72,3,6,NULL
583,72,1,5,NULL
584,72,9,4,NULL
585,72,6,2,NULL
586,72,15,0,NULL
587,72,17,0,NULL
588,72,18,0,NULL
589,72,16,0,NULL
590,73,4,10,NULL
591,73,7,13,NULL
592,73,1,10,NULL
593,73,3,3,NULL
594,73,15,2,NULL
595,73,9,1,NULL
596,73,6,0,NULL
597,73,17,0,NULL
598,73,18,0,NULL
599,73,16,0,NULL
600,74,4,10,NULL
601,74,6,8,NULL
602,74,1,6,NULL
603,74,15,5,NULL
604,74,7,4,NULL
605,74,3,5,NULL
606,74,9,1,NULL
607,74,17,0,NULL
608,74,18,0,NULL
609,74,16,0,NULL
610,75,1,12,NULL
611,75,4,12,NULL
612,75,7,11,NULL
613,75,3,3,NULL
614,75,9,1,NULL
615,75,6,0,NULL
616,75,15,0,NULL
617,75,17,0,NULL
618,75,18,0,NULL
619,76,1,14,NULL
620,76,3,14,NULL
621,76,4,5,NULL
622,76,7,3,NULL
623,76,6,3,NULL
624,76,15,0,NULL
625,76,17,0,NULL
626,76,18,0,NULL
627,76,9,0,NULL
628,77,4,13,NULL
629,77,3,8,NULL
630,77,6,10,NULL
631,77,9,5,NULL
632,77,1,2,NULL
633,77,7,1,NULL
634,77,16,0,NULL
635,77,15,0,NULL
636,77,17,0,NULL
637,77,18,0,NULL
638,78,1,10,NULL
639,78,6,14,NULL
640,78,15,5,NULL
641,78,3,4,NULL
642,78,7,3,NULL
643,78,9,3,NULL
644,78,17,0,NULL
645,78,18,0,NULL
646,78,16,0,NULL
647,78,4,0,NULL
648,79,6,18,NULL
649,79,17,11,NULL
650,79,18,7,NULL
651,79,7,0,NULL
652,79,1,0,NULL
653,79,16,0,NULL
654,79,4,0,NULL
655,79,3,0,NULL
656,79,15,0,NULL
657,79,9,0,NULL
658,80,4,13,NULL
659,80,1,8,NULL
660,80,6,6,NULL
661,80,16,5,NULL
662,80,7,6,NULL
663,80,15,1,NULL
664,80,9,0,NULL
665,80,3,0,NULL
666,80,17,0,NULL
667,80,18,0,NULL
668,81,1,16,NULL
669,81,4,13,NULL
670,81,16,4,NULL
671,81,6,5,NULL
672,81,7,1,NULL
673,81,15,0,NULL
674,81,3,0,NULL
675,81,9,0,NULL
676,81,17,0,NULL
677,81,18,0,NULL
678,82,4,15,NULL
679,82,1,8,NULL
680,82,16,6,NULL
681,82,6,4,NULL
682,82,7,3,NULL
683,82,9,2,NULL
684,82,15,1,NULL
685,82,3,0,NULL
686,82,18,0,NULL
687,82,17,0,NULL
688,83,1,10,NULL
689,83,6,8,NULL
690,83,7,11,NULL
691,83,16,5,NULL
692,83,3,5,NULL
693,83,4,0,NULL
694,83,17,0,NULL
695,83,15,0,NULL
696,83,18,0,NULL
697,83,9,0,NULL
698,84,1,16,NULL
699,84,4,13,NULL
700,84,16,4,NULL
701,84,7,3,NULL
702,84,9,3,NULL
703,84,6,0,NULL
704,84,15,0,NULL
705,84,18,0,NULL
706,84,17,0,NULL
707,84,3,0,NULL
708,85,1,15,NULL
709,85,4,14,NULL
710,85,7,7,NULL
711,85,3,2,NULL
712,85,16,1,NULL
713,85,15,0,NULL
714,85,6,0,NULL
715,85,9,0,NULL
716,85,17,0,NULL
717,85,18,0,NULL
718,86,1,10,NULL
719,86,4,8,NULL
720,86,16,6,NULL
721,86,3,5,NULL
722,86,6,4,NULL
723,86,15,3,NULL
724,86,7,2,NULL
725,86,17,1,NULL
726,86,9,0,NULL
727,86,18,0,NULL
728,87,1,18,NULL
729,87,4,10,NULL
730,87,6,8,NULL
731,87,16,2,NULL
732,87,7,1,NULL
733,87,9,0,NULL
734,87,15,0,NULL
735,87,18,0,NULL
736,87,17,0,NULL
737,87,3,0,NULL
738,88,1,10,NULL
739,88,4,14,NULL
740,88,3,5,NULL
741,88,16,4,NULL
742,88,9,3,NULL
743,88,6,2,NULL
744,88,7,1,NULL
745,88,15,0,NULL
746,88,17,0,NULL
747,88,18,0,NULL
748,89,4,15,NULL
749,89,1,8,NULL
750,89,7,6,NULL
751,89,9,4,NULL
752,89,15,3,NULL
753,89,3,2,NULL
754,89,16,1,NULL
755,89,17,0,NULL
756,89,6,0,NULL
757,89,18,0,NULL
758,90,6,18,NULL
759,90,4,8,NULL
760,90,3,9,NULL
761,90,16,3,NULL
762,90,1,1,NULL
763,90,15,0,NULL
764,90,19,0,NULL
765,90,7,0,NULL
766,90,17,0,NULL
767,90,18,0,NULL
768,91,6,15,NULL
769,91,3,8,NULL
770,91,16,6,NULL
771,91,4,6,NULL
772,91,1,3,NULL
773,91,15,1,NULL
774,91,7,0,NULL
775,91,19,0,NULL
776,91,17,0,NULL
777,91,18,0,NULL
778,92,6,18,NULL
779,92,16,10,NULL
780,92,4,8,NULL
781,92,3,2,NULL
782,92,19,1,NULL
783,92,7,0,NULL
784,92,15,0,NULL
785,92,17,0,NULL
786,92,18,0,NULL
787,92,1,0,NULL
788,93,6,13,NULL
789,93,16,8,NULL
790,93,3,8,NULL
791,93,4,9,NULL
792,93,1,1,NULL
793,93,15,0,NULL
794,93,7,0,NULL
795,93,19,0,NULL
796,93,18,0,NULL
797,93,17,0,NULL
798,94,6,18,NULL
799,94,4,11,NULL
800,94,16,5,NULL
801,94,3,3,NULL
802,94,15,2,NULL
803,94,1,0,NULL
804,94,19,0,NULL
805,94,7,0,NULL
806,94,17,0,NULL
807,94,18,0,NULL
808,95,4,10,NULL
809,95,16,8,NULL
810,95,6,6,NULL
811,95,3,5,NULL
812,95,15,4,NULL
813,95,7,4,NULL
814,95,17,2,NULL
815,95,18,0,NULL
816,95,1,0,NULL
817,95,19,0,NULL
818,96,6,18,NULL
819,96,16,6,NULL
820,96,4,9,NULL
821,96,15,3,NULL
822,96,19,2,NULL
823,96,3,1,NULL
824,96,17,0,NULL
825,96,7,0,NULL
826,96,18,0,NULL
827,96,1,0,NULL
828,97,6,18,NULL
829,97,16,6,NULL
830,97,15,5,NULL
831,97,1,7,NULL
832,97,17,3,NULL
833,97,19,0,NULL
834,97,18,0,NULL
835,97,4,0,NULL
836,97,3,0,NULL
837,97,7,0,NULL
838,98,6,18,NULL
839,98,16,6,NULL
840,98,4,5,NULL
841,98,7,4,NULL
842,98,1,5,NULL
843,98,18,1,NULL
844,98,15,0,NULL
845,98,19,0,NULL
846,98,3,0,NULL
847,98,17,0,NULL
848,99,6,16,NULL
849,99,4,13,NULL
850,99,16,4,NULL
851,99,1,5,NULL
852,99,3,1,NULL
853,99,19,0,NULL
854,99,15,0,NULL
855,99,7,0,NULL
856,99,17,0,NULL
857,99,18,0,NULL
858,100,6,16,NULL
859,100,1,10,NULL
860,100,16,5,NULL
861,100,3,4,NULL
862,100,15,3,NULL
863,100,19,1,NULL
864,100,4,0,NULL
865,100,7,0,NULL
866,100,17,0,NULL
867,100,18,0,NULL
868,101,6,10,NULL
869,101,16,9,NULL
870,101,4,6,NULL
871,101,1,5,NULL
872,101,3,6,NULL
873,101,19,3,NULL
874,101,15,0,NULL
875,101,7,0,NULL
876,101,17,0,NULL
877,101,18,0,NULL
878,102,6,18,NULL
879,102,4,6,NULL
880,102,3,7,NULL
881,102,16,7,NULL
882,102,15,1,NULL
883,102,1,0,NULL
884,102,19,0,NULL
885,102,7,0,NULL
886,102,17,0,NULL
887,102,18,0,NULL
888,103,1,12,NULL
889,103,6,14,NULL
890,103,15,9,NULL
891,103,19,3,NULL
892,103,7,1,NULL
893,103,4,0,NULL
894,103,17,0,NULL
895,103,3,0,NULL
896,103,16,0,NULL
897,103,18,0,NULL
898,104,6,18,NULL
899,104,16,11,NULL
900,104,3,6,NULL
901,104,1,3,NULL
902,104,15,1,NULL
903,104,19,0,NULL
904,104,4,0,NULL
905,104,7,0,NULL
906,104,17,0,NULL
907,104,18,0,NULL
908,105,6,10,NULL
909,105,16,11,NULL
910,105,1,6,NULL
911,105,4,5,NULL
912,105,3,4,NULL
913,105,15,3,NULL
914,105,19,0,NULL
915,105,17,0,NULL
916,105,7,0,NULL
917,105,18,0,NULL
918,106,6,10,NULL
919,106,3,10,NULL
920,106,16,11,NULL
921,106,4,4,NULL
922,106,1,3,NULL
923,106,15,1,NULL
924,106,7,0,NULL
925,106,19,0,NULL
926,106,17,0,NULL
927,106,18,0,NULL
928,107,3,14,NULL
929,107,1,8,NULL
930,107,6,8,NULL
931,107,4,5,NULL
932,107,16,3,NULL
933,107,15,1,NULL
934,107,7,0,NULL
935,107,19,0,NULL
936,107,17,0,NULL
937,107,18,0,NULL
938,108,1,16,NULL
939,108,3,9,NULL
940,108,6,5,NULL
941,108,4,6,NULL
942,108,15,3,NULL
943,108,16,0,NULL
944,108,18,0,NULL
945,108,17,0,NULL
946,108,19,0,NULL
947,108,7,0,NULL
948,109,1,10,NULL
949,109,6,11,NULL
950,109,4,10,NULL
951,109,3,5,NULL
952,109,16,2,NULL
953,109,15,1,NULL
954,109,17,0,NULL
955,109,7,0,NULL
956,109,18,0,NULL
957,109,19,0,NULL
958,110,17,10,NULL
959,110,1,13,NULL
960,110,4,7,NULL
961,110,15,4,NULL
962,110,16,3,NULL
963,110,3,2,NULL
964,110,19,0,NULL
965,110,7,0,NULL
966,110,6,0,NULL
967,110,18,0,NULL
968,111,6,16,NULL
969,111,1,12,NULL
970,111,3,7,NULL
971,111,4,3,NULL
972,111,16,1,NULL
973,111,7,0,NULL
974,111,15,0,NULL
975,111,19,0,NULL
976,111,17,0,NULL
977,111,18,0,NULL
978,112,6,16,NULL
979,112,4,8,NULL
980,112,3,9,NULL
981,112,7,3,NULL
982,112,19,2,NULL
983,112,17,1,NULL
984,112,16,0,NULL
985,112,15,0,NULL
986,112,18,0,NULL
987,112,1,0,NULL
988,113,6,16,NULL
989,113,1,12,NULL
990,113,16,5,NULL
991,113,3,3,NULL
992,113,19,2,NULL
993,113,4,1,NULL
994,113,7,0,NULL
995,113,17,0,NULL
996,113,18,0,NULL
997,113,15,0,NULL
998,114,3,15,NULL
999,114,1,10,NULL
1000,114,6,7,NULL
