constructorStandingsId,raceId,constructorId,points,position,positionText,wins
25804,42,7,9,5,5,0
25803,42,3,13,4,4,0
25802,42,4,25,3,3,0
25801,42,2,39,2,2,0
25800,42,1,106,11,E,4
25819,43,5,0,9,9,0
25818,43,9,6,6,6,0
25817,43,8,4,7,7,0
25816,43,11,1,8,8,0
25815,43,7,9,5,5,0
25814,43,3,13,4,4,0
25813,43,4,28,3,3,0
25812,43,2,48,2,2,0
25811,43,1,114,11,E,4
25830,44,5,0,9,9,0
25829,44,9,6,6,6,0
25828,44,8,4,7,7,0
25827,44,11,1,8,8,0
25826,44,7,9,5,5,0
25825,44,3,13,4,4,0
25824,44,4,31,3,3,0
25823,44,2,56,2,2,0
25822,44,1,128,11,E,5
25841,45,5,0,9,9,0
25840,45,9,16,5,5,0
25839,45,8,4,7,7,0
25838,45,11,1,8,8,0
25837,45,7,9,6,6,0
25836,45,3,18,4,4,0
25835,45,4,32,3,3,0
25834,45,2,61,2,2,0
25833,45,1,138,11,E,5
25852,46,5,0,9,9,0
25851,46,9,16,5,5,0
25850,46,8,4,7,7,0
25849,46,11,1,8,8,0
25848,46,7,12,6,6,0
25847,46,3,20,4,4,0
25846,46,4,33,3,3,0
25845,46,2,71,2,2,0
25844,46,1,138,11,E,6
25863,47,5,0,9,9,0
25862,47,9,16,5,5,0
25861,47,8,4,7,7,0
25860,47,11,1,8,8,0
25859,47,7,12,6,6,0
25858,47,3,22,4,4,0
25857,47,4,36,3,3,0
25856,47,2,77,2,2,0
25855,47,1,148,11,E,6
25874,48,5,0,9,9,0
25873,48,9,16,5,5,0
25872,48,8,4,7,7,0
25871,48,11,2,8,8,0
25870,48,7,12,6,6,0
25869,48,3,25,4,4,0
25868,48,4,38,3,3,0
25867,48,2,86,2,2,0
25866,48,1,166,11,E,7
25885,49,5,0,9,9,0
25884,49,9,18,5,5,0
25883,49,8,4,7,7,0
25882,49,11,2,8,8,0
25881,49,7,12,6,6,0
25880,49,3,28,4,4,0
25879,49,4,39,3,3,0
25878,49,2,90,2,2,0
25877,49,1,192,11,E,7
25896,50,5,0,10,10,0
25895,50,9,23,5,5,0
25894,50,8,4,7,7,0
25893,50,11,2,8,8,0
25892,50,7,12,6,6,0
25891,50,3,28,4,4,0
25890,50,4,51,3,3,0
25889,50,2,92,2,2,0
25888,50,1,202,11,E,8
25907,51,5,8,7,7,0
25906,51,9,24,5,5,0
25905,51,8,4,9,9,0
25904,51,11,6,8,8,0
25903,51,7,12,6,6,0
25902,51,3,28,4,4,0
25901,51,4,51,3,3,0
25900,51,2,94,2,2,0
25899,51,1,210,11,E,8
25918,52,5,8,7,7,0
25917,52,9,24,5,5,0
25916,52,8,4,9,9,0
25915,52,11,6,8,8,0
25914,52,7,13,6,6,0
25913,52,3,33,4,4,0
25912,52,4,51,3,3,0
25911,52,2,101,2,2,0
25910,52,1,218,11,E,8
6327,53,8,0,11,11,0
6326,53,13,0,10,10,0
6325,53,7,0,9,9,0
6324,53,2,0,8,8,0
6323,53,5,0,7,7,0
6322,53,9,1,6,6,0
6321,53,3,5,5,5,0
6320,53,11,5,4,4,0
6319,53,1,10,2,2,0
6318,53,6,8,3,3,0
6317,53,4,10,1,1,1
6338,54,8,0,11,11,0
6337,54,13,0,10,10,0
6336,54,7,1,7,7,0
6335,54,2,2,6,6,0
6334,54,5,0,9,9,0
6333,54,9,1,8,8,0
6332,54,3,5,5,5,0
6331,54,11,11,4,4,0
6330,54,1,15,3,3,0
6329,54,6,15,2,2,0
6328,54,4,28,1,1,2
6349,55,8,0,11,11,0
6348,55,13,0,10,10,0
6347,55,7,7,6,6,0
6346,55,2,10,5,5,0
6345,55,5,0,9,9,0
6344,55,9,2,8,8,0
6343,55,3,5,7,7,0
6342,55,11,13,4,4,0
6341,55,1,23,2,2,0
6340,55,6,15,3,3,0
6339,55,4,42,1,1,3
6360,56,8,0,11,11,0
6359,56,13,0,10,10,0
6358,56,7,7,7,7,0
6357,56,2,10,5,5,0
6356,56,5,0,9,9,0
6355,56,9,2,8,8,0
6354,56,3,8,6,6,0
6353,56,11,15,4,4,0
6352,56,1,33,2,2,0
6351,56,6,30,3,3,1
6350,56,4,51,1,1,3
6371,57,8,0,11,11,0
6370,57,13,0,10,10,0
6369,57,7,7,7,7,0
6368,57,2,11,5,5,0
6367,57,5,0,9,9,0
6366,57,9,2,8,8,0
6365,57,3,10,6,6,0
6364,57,11,19,4,4,0
6363,57,1,38,3,3,0
6362,57,6,46,2,2,2
6361,57,4,62,1,1,3
6382,58,8,0,11,11,0
6381,58,13,0,10,10,0
6380,58,7,7,7,7,0
6379,58,2,12,5,5,0
6378,58,5,0,9,9,0
6377,58,9,2,8,8,0
6376,58,3,10,6,6,0
6375,58,11,24,4,4,0
6374,58,1,42,3,3,0
6373,58,6,59,2,2,2
6372,58,4,78,1,1,4
6393,59,8,0,11,11,0
6392,59,13,0,10,10,0
6391,59,7,8,7,7,0
6390,59,2,14,5,5,0
6389,59,5,0,9,9,0
6388,59,9,8,8,8,0
6387,59,3,10,6,6,0
6386,59,11,29,4,4,0
6385,59,1,50,3,3,0
6384,59,6,63,2,2,2
6383,59,4,91,1,1,5
6404,60,8,0,11,11,0
6403,60,13,0,10,10,0
6402,60,7,8,7,7,0
6401,60,2,17,5,5,0
6400,60,5,0,9,9,0
6399,60,9,8,8,8,0
6398,60,3,10,6,6,0
6397,60,11,29,4,4,0
6396,60,1,59,3,3,0
6395,60,6,75,2,2,2
6394,60,4,106,1,1,6
6415,61,8,0,11,11,0
6414,61,13,0,10,10,0
6413,61,7,11,6,6,0
6412,61,2,19,5,5,0
6411,61,5,0,9,9,0
6410,61,9,9,8,8,0
6409,61,3,10,7,7,0
6408,61,11,29,4,4,0
6407,61,1,65,3,3,0
6406,61,6,87,2,2,2
6405,61,4,121,1,1,7
6426,62,8,0,11,11,0
6425,62,13,0,10,10,0
6424,62,7,16,6,6,0
6423,62,2,19,5,5,0
6422,62,5,1,9,9,0
6421,62,9,11,7,7,0
6420,62,3,10,8,8,0
6419,62,11,32,4,4,0
6418,62,1,65,3,3,0
6417,62,6,105,2,2,3
6416,62,4,131,1,1,7
6437,63,8,0,11,11,0
6436,63,13,0,10,10,0
6435,63,7,21,5,5,0
6434,63,2,20,6,6,0
6433,63,5,1,9,9,0
6432,63,9,11,7,7,0
6431,63,3,10,8,8,0
6430,63,11,32,4,4,0
6429,63,1,71,3,3,0
6428,63,6,121,2,2,4
6427,63,4,142,1,1,7
6448,64,8,0,11,11,0
6447,64,13,0,10,10,0
6446,64,7,23,5,5,0
6445,64,2,20,6,6,0
6444,64,5,1,9,9,0
6443,64,9,12,7,7,0
6442,64,3,10,8,8,0
6441,64,11,37,4,4,0
6440,64,1,77,3,3,0
6439,64,6,139,2,2,5
6438,64,4,149,1,1,7
6459,65,8,0,11,11,0
6458,65,13,0,10,10,0
6457,65,7,26,5,5,0
6456,65,2,26,6,6,0
6455,65,5,1,9,9,0
6454,65,9,16,7,7,0
6453,65,3,10,8,8,0
6452,65,11,52,4,4,1
6451,65,1,85,3,3,0
6450,65,6,142,2,2,5
6449,65,4,149,1,1,7
6470,66,8,0,11,11,0
6469,66,13,0,10,10,0
6468,66,7,28,5,5,0
6467,66,2,26,6,6,0
6466,66,5,1,9,9,0
6465,66,9,16,7,7,0
6464,66,3,10,8,8,0
6463,66,11,58,4,4,1
6462,66,1,89,3,3,0
6461,66,6,158,2,2,6
6460,66,4,160,1,1,7
6482,67,14,0,12,12,0
6481,67,8,0,11,11,0
6480,67,13,0,10,10,0
6479,67,7,30,6,6,0
6478,67,2,33,5,5,0
6477,67,5,1,9,9,0
6476,67,9,16,7,7,0
6475,67,3,10,8,8,0
6474,67,11,65,4,4,1
6473,67,1,97,3,3,0
6472,67,6,168,1,1,7
6471,67,4,165,2,2,7
6494,68,14,0,12,12,0
6493,68,8,0,11,11,0
6492,68,13,0,10,10,0
6491,68,7,30,6,6,0
6490,68,2,35,5,5,0
6489,68,5,1,9,9,0
6488,68,9,16,7,7,0
6487,68,3,11,8,8,0
6486,68,11,73,4,4,1
6485,68,1,101,3,3,0
6484,68,6,178,2,2,8
6483,68,4,179,1,1,7
6506,69,14,0,12,12,0
6505,69,8,0,11,11,0
6504,69,13,0,10,10,0
6503,69,7,35,6,6,0
6502,69,2,36,5,5,0
6501,69,5,1,9,9,0
6500,69,9,16,7,7,0
6499,69,3,11,8,8,0
6498,69,11,78,4,4,1
6497,69,1,105,3,3,0
6496,69,6,186,2,2,8
6495,69,4,195,1,1,8
6518,70,14,0,12,12,0
6517,70,8,0,11,11,0
6516,70,13,0,10,10,0
6515,70,7,35,6,6,0
6514,70,2,36,5,5,0
6513,70,5,1,9,9,0
6512,70,9,16,7,7,0
6511,70,3,11,8,8,0
6510,70,11,86,4,4,1
6509,70,1,110,3,3,0
6508,70,6,201,2,2,9
6507,70,4,206,1,1,8
27951,71,17,0,8,8,0
27950,71,16,0,10,10,0
27949,71,15,0,7,7,0
27948,71,7,0,6,6,0
27947,71,1,4,5,5,0
27946,71,3,4,4,4,0
27945,71,9,7,3,3,0
27944,71,6,8,2,2,0
27943,71,4,16,1,1,1
27961,72,17,0,8,8,0
27960,72,16,0,10,10,0
27959,72,15,0,7,7,0
27958,72,7,12,2,2,0
27957,72,1,9,6,6,0
27956,72,3,10,5,5,0
27955,72,9,11,3,3,0
27954,72,6,10,4,4,0
27953,72,4,26,1,1,2
27971,73,17,0,8,8,0
27970,73,16,0,10,10,0
27969,73,15,2,7,7,0
27968,73,7,25,2,2,0
27967,73,1,19,3,3,0
27966,73,3,13,4,4,0
27965,73,9,12,5,5,0
27964,73,6,10,6,6,0
27963,73,4,36,1,1,3
27981,74,17,0,8,8,0
27980,74,16,0,10,10,0
27979,74,15,7,7,7,0
27978,74,7,29,2,2,0
27977,74,1,25,3,3,0
27976,74,3,18,5,5,0
27975,74,9,13,6,6,0
27974,74,6,18,4,4,0
27992,75,18,0,9,9,0
27991,75,17,0,8,8,0
27990,75,16,0,10,10,0
27989,75,15,7,7,7,0
27988,75,7,40,2,2,0
27987,75,1,37,3,3,1
27986,75,3,21,4,4,0
27985,75,9,14,6,6,0
27984,75,6,18,5,5,0
28001,76,17,0,8,8,0
28000,76,16,0,10,10,0
27999,76,15,7,7,7,0
27998,76,7,43,3,3,0
27997,76,1,51,2,2,2
27996,76,3,35,4,4,0
27995,76,9,14,6,6,0
27994,76,6,21,5,5,0
27993,76,4,63,1,1,4
28012,77,18,0,10,10,0
28011,77,17,0,8,8,0
28010,77,16,0,9,9,0
28009,77,15,7,7,7,0
28008,77,7,44,3,3,0
28007,77,1,53,2,2,2
28006,77,3,43,4,4,0
28005,77,9,19,6,6,0
28004,77,6,31,5,5,0
28003,77,4,76,1,1,5
28022,78,18,0,10,10,0
28021,78,17,0,8,8,0
28020,78,16,0,9,9,0
28019,78,15,12,7,7,0
28018,78,7,47,4,4,0
28017,78,1,63,2,2,3
28016,78,3,47,3,3,0
28015,78,9,22,6,6,0
28014,78,6,45,5,5,0
28013,78,4,76,1,1,5
28032,79,18,7,9,9,0
28031,79,17,11,8,8,0
28030,79,16,0,10,10,0
28029,79,15,12,7,7,0
28028,79,7,47,5,5,0
28027,79,1,63,2,2,3
28026,79,3,47,4,4,0
28025,79,9,22,6,6,0
28024,79,6,63,3,3,1
28023,79,4,76,1,1,5
28042,80,18,7,9,9,0
28041,80,17,11,8,8,0
28040,80,16,5,10,10,0
28039,80,15,13,7,7,0
28038,80,7,53,4,4,0
28037,80,1,71,2,2,3
28036,80,3,47,5,5,0
28035,80,9,22,6,6,0
28034,80,6,69,3,3,1
28033,80,4,89,1,1,6
28052,81,18,7,10,10,0
28051,81,17,11,8,8,0
28050,81,16,9,9,9,0
28049,81,15,13,7,7,0
28048,81,7,54,4,4,0
28047,81,1,87,2,2,4
28046,81,3,47,5,5,0
28045,81,9,22,6,6,0
28044,81,6,74,3,3,1
28043,81,4,102,1,1,6
28062,82,18,7,10,10,0
28061,82,17,11,9,9,0
28060,82,16,15,7,7,0
28059,82,15,14,8,8,0
28058,82,7,57,4,4,0
28057,82,1,95,2,2,4
28056,82,3,47,5,5,0
28055,82,9,24,6,6,0
28054,82,6,78,3,3,1
28053,82,4,117,1,1,7
28072,83,18,7,10,10,0
28071,83,17,11,9,9,0
28070,83,16,20,7,7,0
28069,83,15,14,8,8,0
28068,83,7,68,4,4,0
28067,83,1,105,2,2,5
28066,83,3,52,5,5,0
28065,83,9,24,6,6,0
28064,83,6,86,3,3,1
28063,83,4,117,1,1,7
28082,84,18,7,10,10,0
28081,84,17,11,9,9,0
28080,84,16,24,7,7,0
28079,84,15,14,8,8,0
28078,84,7,71,4,4,0
28077,84,1,121,2,2,6
28076,84,3,52,5,5,0
28075,84,9,27,6,6,0
28074,84,6,86,3,3,1
28073,84,4,130,1,1,7
28092,85,18,7,10,10,0
28091,85,17,11,9,9,0
28090,85,16,25,7,7,0
28089,85,15,14,8,8,0
28088,85,7,78,4,4,0
28087,85,1,136,2,2,7
28086,85,3,54,5,5,0
28085,85,9,27,6,6,0
28084,85,6,86,3,3,1
28083,85,4,144,1,1,7
28102,86,18,7,10,10,0
28101,86,17,12,9,9,0
28100,86,16,31,6,6,0
28099,86,15,17,8,8,0
28098,86,7,80,4,4,0
28097,86,1,146,2,2,8
28096,86,3,59,5,5,0
28095,86,9,27,7,7,0
28094,86,6,90,3,3,1
28093,86,4,152,1,1,7
28112,87,18,7,10,10,0
28111,87,17,12,9,9,0
28110,87,16,33,6,6,0
28109,87,15,17,8,8,0
28108,87,7,81,4,4,0
28107,87,1,164,1,1,9
28106,87,3,59,5,5,0
28105,87,9,27,7,7,0
28104,87,6,98,3,3,1
28103,87,4,162,2,2,7
28122,88,18,7,10,10,0
28121,88,17,12,9,9,0
28120,88,16,37,6,6,0
28119,88,15,17,8,8,0
28118,88,7,82,4,4,0
28117,88,1,174,2,2,10
28116,88,3,64,5,5,0
28115,88,9,30,7,7,0
28114,88,6,100,3,3,1
28113,88,4,176,1,1,7
28132,89,18,7,10,10,0
28131,89,17,12,9,9,0
28130,89,16,38,6,6,0
28129,89,15,20,8,8,0
28128,89,7,88,4,4,0
28127,89,1,182,2,2,10
28126,89,3,66,5,5,0
28125,89,9,34,7,7,0
28124,89,6,100,3,3,1
28123,89,4,191,1,1,8
6146,90,17,0,9,9,0
6145,90,7,0,8,8,0
6144,90,19,0,7,7,0
6143,90,15,0,6,6,0
6142,90,1,1,5,5,0
6141,90,16,3,4,4,0
6140,90,3,9,2,2,0
6139,90,4,8,3,3,0
6138,90,6,18,1,1,1
6156,91,18,0,10,10,0
6155,91,17,0,9,9,0
6154,91,7,0,7,7,0
6153,91,19,0,8,8,0
6152,91,15,1,6,6,0
6151,91,1,4,5,5,0
6150,91,16,9,4,4,0
6149,91,3,17,2,2,0
6148,91,4,14,3,3,0
6147,91,6,33,1,1,2
6166,92,18,0,10,10,0
6165,92,17,0,9,9,0
6164,92,7,0,8,8,0
6163,92,19,1,7,7,0
6162,92,15,1,6,6,0
6161,92,1,4,5,5,0
6160,92,16,19,4,4,0
6159,92,3,19,3,3,0
6158,92,4,22,2,2,0
6157,92,6,51,1,1,3
6176,93,18,0,10,10,0
6175,93,17,0,9,9,0
6174,93,7,0,8,8,0
6173,93,19,1,7,7,0
6172,93,15,1,6,6,0
6171,93,1,5,5,5,0
6170,93,16,27,3,3,0
6169,93,3,27,4,4,0
6168,93,4,31,2,2,0
6167,93,6,64,1,1,4
6186,94,18,0,10,10,0
6185,94,17,0,9,9,0
6184,94,7,0,8,8,0
6183,94,19,1,7,7,0
6182,94,15,3,6,6,0
6181,94,1,5,5,5,0
6180,94,16,32,3,3,0
6179,94,3,30,4,4,0
6178,94,4,42,2,2,0
6177,94,6,82,1,1,5
6196,95,18,0,10,10,0
6195,95,17,2,8,8,0
6194,95,7,4,7,7,0
6193,95,19,1,9,9,0
6192,95,15,7,5,5,0
6191,95,1,5,6,6,0
6190,95,16,40,3,3,0
6189,95,3,35,4,4,0
6188,95,4,52,2,2,1
6187,95,6,88,1,1,5
6206,96,18,0,10,10,0
6205,96,17,2,9,9,0
6204,96,7,4,7,7,0
6203,96,19,3,8,8,0
6202,96,15,10,5,5,0
6201,96,1,5,6,6,0
6200,96,16,46,3,3,0
6199,96,3,36,4,4,0
6198,96,4,61,2,2,1
6197,96,6,106,1,1,6
6216,97,18,0,10,10,0
6215,97,17,5,7,7,0
6214,97,7,4,8,8,0
6213,97,19,3,9,9,0
6212,97,15,15,5,5,0
6211,97,1,12,6,6,0
6210,97,16,52,3,3,0
6209,97,3,36,4,4,0
6208,97,4,61,2,2,1
6207,97,6,124,1,1,7
6226,98,18,1,10,10,0
6225,98,17,5,8,8,0
6224,98,7,8,7,7,0
6223,98,19,3,9,9,0
6222,98,15,15,6,6,0
6221,98,1,17,5,5,0
6220,98,16,58,3,3,0
6219,98,3,36,4,4,0
6218,98,4,66,2,2,1
6217,98,6,142,1,1,8
6236,99,18,1,10,10,0
6235,99,17,5,8,8,0
6234,99,7,8,7,7,0
6233,99,19,3,9,9,0
6232,99,15,15,6,6,0
6231,99,1,22,5,5,0
6230,99,16,62,3,3,0
6229,99,3,37,4,4,0
6228,99,4,79,2,2,1
6227,99,6,158,1,1,9
6246,100,18,1,10,10,0
6245,100,17,5,8,8,0
6244,100,7,8,7,7,0
6243,100,19,4,9,9,0
6242,100,15,18,6,6,0
6241,100,1,32,5,5,0
6240,100,16,67,3,3,0
6239,100,3,41,4,4,0
6238,100,4,79,2,2,1
6237,100,6,174,1,1,10
6256,101,18,1,10,10,0
6255,101,17,5,9,9,0
6254,101,7,8,7,7,0
6253,101,19,7,8,8,0
6252,101,15,18,6,6,0
6251,101,1,37,5,5,0
6250,101,16,76,3,3,0
6249,101,3,47,4,4,0
6248,101,4,85,2,2,1
6247,101,6,184,1,1,11
6266,102,18,1,10,10,0
6265,102,17,5,9,9,0
6264,102,7,8,7,7,0
6263,102,19,7,8,8,0
6262,102,15,19,6,6,0
6261,102,1,37,5,5,0
6260,102,16,83,3,3,0
6259,102,3,54,4,4,0
6258,102,4,91,2,2,1
6257,102,6,202,1,1,12
6276,103,18,1,10,10,0
6275,103,17,5,9,9,0
6274,103,7,9,8,8,0
6273,103,19,10,7,7,0
6272,103,15,28,6,6,0
6271,103,1,49,5,5,1
6270,103,16,83,3,3,0
6269,103,3,54,4,4,0
6268,103,4,91,2,2,1
6267,103,6,216,1,1,12
6286,104,18,1,10,10,0
6285,104,17,5,9,9,0
6284,104,7,9,8,8,0
6283,104,19,10,7,7,0
6282,104,15,29,6,6,0
6281,104,1,52,5,5,1
6280,104,16,94,2,2,0
6279,104,3,60,4,4,0
6278,104,4,91,3,3,1
6277,104,6,234,1,1,13
6296,105,18,1,10,10,0
6295,105,17,5,9,9,0
6294,105,7,9,8,8,0
6293,105,19,10,7,7,0
6292,105,15,32,6,6,0
6291,105,1,58,5,5,1
6290,105,16,105,2,2,0
6289,105,3,64,4,4,0
6288,105,4,96,3,3,1
6287,105,6,244,1,1,14
6306,106,18,1,10,10,0
6305,106,17,5,9,9,0
6304,106,7,9,8,8,0
6303,106,19,10,7,7,0
6302,106,15,33,6,6,0
6301,106,1,61,5,5,1
6300,106,16,116,2,2,0
6299,106,3,74,4,4,0
6298,106,4,100,3,3,1
6297,106,6,254,1,1,15
6316,107,18,1,10,10,0
6315,107,17,5,9,9,0
6314,107,7,9,8,8,0
6313,107,19,10,7,7,0
6312,107,15,34,6,6,0
6311,107,1,69,5,5,1
6310,107,16,119,2,2,0
6309,107,3,88,4,4,1
6308,107,4,105,3,3,1
6307,107,6,262,1,1,15
5988,108,18,0,7,7,0
5987,108,16,0,6,6,0
5986,108,15,3,5,5,0
5985,108,4,6,3,3,0
5984,108,6,5,4,4,0
5983,108,3,9,2,2,0
5982,108,1,16,1,1,1
5997,109,7,0,9,9,0
5996,109,17,0,7,7,0
5995,109,18,0,8,8,0
5994,109,16,2,6,6,0
5993,109,15,4,5,5,0
5992,109,4,16,3,3,0
5991,109,6,16,2,2,0
5990,109,3,14,4,4,0
5989,109,1,26,1,1,2
6007,110,19,0,8,8,0
6006,110,7,0,9,9,0
6005,110,17,10,5,5,1
6004,110,18,0,10,10,0
6003,110,16,5,7,7,0
6002,110,15,8,6,6,0
6001,110,4,23,2,2,0
6000,110,6,16,3,3,0
5999,110,3,16,4,4,0
5998,110,1,39,1,1,2
6017,111,19,0,9,9,0
6016,111,7,0,8,8,0
6015,111,17,10,5,5,1
6014,111,18,0,10,10,0
6013,111,16,6,7,7,0
6012,111,15,8,6,6,0
